DATE_TIME,DC_POWER,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,testMAE_DC,max_trainMAE_DC,anomaly
2020-06-08 04:15:00,0.0,24.18538107142857,23.004841428571428,0.0,0.0013160612434148788,0.4,False
2020-06-08 04:30:00,0.0,24.259531699999997,23.46670946666667,0.0,0.0013184818672016263,0.4,False
2020-06-08 04:45:00,0.0,24.276126379310345,23.49121834482758,0.0,0.0013188349548727274,0.4,False
2020-06-08 05:00:00,0.0,24.22245576666667,23.3793477,0.0,0.0013176162028685212,0.4,False
2020-06-08 05:15:00,0.0,24.25752373333333,23.65862956666667,0.0,0.001318891765549779,0.4,False
2020-06-08 05:30:00,0.0,23.98507489655172,22.633693241379305,0.0,0.0013115950860083103,0.4,False
2020-06-08 05:45:00,0.0,23.98662826666667,23.037936433333336,0.0018528598456666664,0.001312140841037035,0.4,False
2020-06-08 06:00:00,19.5,24.20506034482759,23.79898934482759,0.014655161003448275,0.011371955297640466,0.4,False
2020-06-08 06:15:00,55.514285714285705,24.331214600000006,23.938405300000003,0.0392247689,0.014024652732566187,0.4,False
2020-06-08 06:30:00,97.67333333333332,24.51736351724139,24.585816517241373,0.06599269224137931,0.013870352412467493,0.4,False
2020-06-08 06:45:00,142.22,24.845601300000002,25.58010346666667,0.0889491841,0.018688984879392023,0.4,False
2020-06-08 07:00:00,238.8333333333333,25.224013166666666,27.116205733333334,0.1950850521333333,0.010128470086071983,0.4,False
2020-06-08 07:15:00,243.54285714285714,25.63099824137931,29.72970686206897,0.2136168020344828,0.01161769274237856,0.4,False
2020-06-08 07:30:00,409.7533333333333,25.745165000000004,31.448751766666664,0.31960911966666666,0.013955717741844564,0.4,False
2020-06-08 07:45:00,483.1466666666668,26.189314172413788,34.096579827586204,0.3787636724137932,0.01620664643302644,0.4,False
2020-06-08 08:00:00,550.3,26.677007033333336,36.411857066666656,0.4478052886666665,0.012164736811899557,0.4,False
2020-06-08 08:15:00,470.1533333333333,26.91035206896552,36.49297772413794,0.3442403296551725,0.019779466168480198,0.4,False
2020-06-08 08:30:00,785.8999999999999,27.242980966666664,37.49083386666668,0.5150724836666666,0.11918080958720612,0.4,False
2020-06-08 08:45:00,617.38,27.509329366666666,37.06063839999999,0.3601402536666666,0.10056163215500974,0.4,False
2020-06-08 09:00:00,664.3866666666667,28.029827241379305,38.45545786206896,0.5598214465517241,0.02307903286877616,0.4,False
2020-06-08 09:15:00,708.6923076923076,28.497391296296296,40.13508885185185,0.4691874514814814,0.08964221888602031,0.4,False
2020-06-08 09:30:00,974.4846153846155,28.96267034782609,41.09230130434783,0.7317601882608696,0.11981452658041858,0.4,False
2020-06-08 09:45:00,1116.7692307692307,29.463062785714282,43.67498875000001,0.8086245521428573,0.15578610240466662,0.4,False
2020-06-08 10:00:00,998.0,29.78904544827586,43.43828806896552,0.659905465862069,0.16923830871625334,0.4,False
2020-06-08 10:15:00,914.0866666666666,30.26495466666667,47.16902866666666,0.8487661903333334,0.0048143782498070165,0.4,False
2020-06-08 10:30:00,1183.7000000000005,31.225147103448272,55.10767875862069,0.9147767362068968,0.11476882077395589,0.4,False
2020-06-08 10:45:00,1004.5357142857144,31.23928343333333,51.54766013333333,0.7268661959999999,0.10488437088529246,0.4,False
2020-06-08 11:00:00,1174.2333333333333,31.644782793103452,55.88617158620689,0.9682347324137929,0.08425212418518935,0.4,False
2020-06-08 11:15:00,1221.3333333333333,31.6512615,53.74365429999999,0.8270961906666667,0.18253989885385735,0.4,False
2020-06-08 11:30:00,1304.8666666666668,31.93157020689656,54.67335772413793,0.9459829844827584,0.18348889818323966,0.4,False
2020-06-08 11:45:00,1116.62,32.13035090000001,54.91077170000001,0.8896266996666666,0.08542653854424864,0.4,False
2020-06-08 12:00:00,1087.4214285714286,32.11926062068965,53.07387375862069,0.7076265589655172,0.15862578884745637,0.4,False
2020-06-08 12:15:00,1188.1066666666666,32.299311299999985,52.53112986666667,0.9929877596666667,0.09939316186192493,0.4,False
2020-06-08 12:30:00,1269.0066666666667,33.371868241379296,57.84481582758621,0.975599393448276,0.13660513982319078,0.4,False
2020-06-08 12:45:00,1349.28,33.46882423333333,59.603781000000005,0.919472782,0.1992421779086706,0.4,False
2020-06-08 13:00:00,989.2533333333334,33.097265965517245,51.85124986206896,0.7769413851724138,0.0724392089400473,0.4,False
2020-06-08 13:15:00,759.95,33.37835496666667,50.7018586,0.6180603946666666,0.018377377005072693,0.4,False
2020-06-08 13:30:00,1312.2333333333333,33.487098137931035,52.67072368965517,0.8907123813793103,0.222248593464483,0.4,False
2020-06-08 13:45:00,1194.3933333333334,33.73505129999998,52.3897389,0.6725076190000001,0.25769440044285263,0.4,False
2020-06-08 14:00:00,1155.5,34.040485206896555,52.49896431034484,0.8504849924137933,0.14008539583991164,0.4,False
2020-06-08 14:15:00,1239.7266666666667,34.30160923333333,55.35474556666666,0.8372840246666668,0.18956457845555452,0.4,False
2020-06-08 14:30:00,1223.3785714285714,34.651486133333336,55.11219686666668,0.8272664623333335,0.18765887541466286,0.4,False
2020-06-08 14:45:00,1186.0800000000004,34.95383220689655,55.212895,0.805708370689655,0.17664947017222743,0.4,False
2020-06-08 15:00:00,897.8666666666666,34.52540486666666,52.0578676,0.5830057133333333,0.12215578136300842,0.4,False
2020-06-08 15:15:00,1051.1066666666668,34.56790527586206,49.881129827586214,0.6698914724137933,0.18579479268766141,0.4,False
2020-06-08 15:30:00,949.45,34.643021766666656,49.407418799999995,0.6618464033333333,0.1271612144486136,0.4,False
2020-06-08 15:45:00,876.7533333333334,34.78082813793104,48.18100510344828,0.5469249258620688,0.1465307931267531,0.4,False
2020-06-08 16:00:00,642.9733333333334,34.512670799999995,44.64368766666667,0.4552620366666667,0.06409131516444244,0.4,False
2020-06-08 16:15:00,573.4333333333333,34.0803748275862,42.50126886206896,0.3886018355172414,0.06650040736949231,0.4,False
2020-06-08 16:30:00,511.78666666666663,33.91140243333332,40.48786310000001,0.3308074673333333,0.07255625567314067,0.4,False
2020-06-08 16:45:00,428.7333333333333,33.269952206896555,38.66062527586207,0.2653666793103449,0.06678801933905054,0.4,False
2020-06-08 17:00:00,373.5928571428572,32.76734503333332,36.94022733333333,0.23702348833333334,0.0569134168585812,0.4,False
2020-06-08 17:15:00,291.49333333333334,32.56407086206897,35.582736344827595,0.1857099906896552,0.044891650370994435,0.4,False
2020-06-08 17:30:00,264.0533333333333,32.27888296666667,34.6460289,0.16996520433333334,0.0412803306386299,0.4,False
